code,ANALYSE 1,ANALYSE 2,ALGEBRE 2,PROCE FABRIC/DESSIN TECHN,ANALYSE DES CIRCUI /OPTIQ,ALGEBRE 1,CHIMIE,ELECTRICITE,THERMODYNAMIQUE,LANGUES,TECHNI D'EXPRESS & COMMU1,Mécanique du point
7610412,1.2,5,8,11.192,12.647,11,11.882,11.152,12.17,13.02,11.76,8.875
7611129,12.4,11.6,12.4,9.158,14.274,15,13.053,13.288,12.46,13.28,12.52,10.69
7611506,7.4,7.2,11.5,6.9,12.734,10.6,7.997,10.952,10,13.46,11.734,10.525
7615691,6.8,9.8,15.2,8.268,13.236,15.6,10.994,11.016,11.75,14,13.4,9.18
7626474,5,6.8,9.25,8.364,13.193,10.6,13.961,12.344,12.6,14.36,14.12,10.39
7626567,8,13.6,14.3,13.098,13.536,17.9,15.743,12.48,15.98,14.4,14.4,11.425
7626672,7.6,5.6,9.75,11.08,13.039,14.4,12.908,11.324,14.28,14.56,15.18,10.16
7626673,8.2,5.6,8.45,10.132,10.131,9.35,6.512,8.64,7.54,12.8,12.96,5.46
7626721,10.8,12.6,8.8,10.438,13.913,14,13.284,12.3,14.41,13.46,13,10.08
7626723,5,6.2,10.2,10.128,11.39,13.35,11.594,9.848,13.72,12.38,12.64,8.225
7626725,5,8.4,10.25,7.368,11.465,13.7,9.561,10.424,8.22,13.64,11.46,9.49
7626727,5.2,4.4,10,10.6,10.309,8,8.175,7.976,7.68,13.58,11.8,6.13
7626731,7.4,6.8,9.35,9.456,10.757,10.8,14.096,8.744,14.56,11.46,13.32,8.015
7626737,6.6,12.8,12.85,10.654,14.048,15.05,15.551,13.484,11.9,13.56,15.2,9.665
7626738,9.4,5,9.8,10.778,11.805,10.7,10.538,7.368,6.12,12.72,13.86,7.99
7626739,12.4,13.2,11.7,8.412,12.899,16.5,11.842,9.448,11.6,12.74,12.8,10.5
7626741,11,13.6,14.55,15.53,13.858,16.2,13.892,10.352,14.55,13.06,12.6,9.355
7626743,6.6,6.8,9.45,11.16,12.261,10.65,10.89,10.512,10,14.34,13.12,5.68
7626744,5.4,9.4,14.1,9.126,12.799,10.85,12.733,10.92,13.72,13.46,11.96,9.805
7626745,5.2,8,13.7,10.348,12.771,13.4,13.292,11.016,14.98,12.26,13.42,9.285
7626746,10,6.8,8.2,7.32,12.133,13.8,11.492,11.216,10.92,13.96,14.32,8.455
7626747,5.2,5,7,11.82,11.358,15.05,11.958,10.584,8.52,14.42,12.52,9.935
7626748,10.6,6.8,5.85,7.228,9.509,13.4,10,8.912,5.98,13.36,11.53,5.935
7626749,7.2,9.8,13.4,9.7,13.085,17.3,15.403,12.592,14,14.68,14.4,10.855
